日期,场景ID,场景名字,原二级场景ID,原二级场景名字,计划ID,计划名字,主体ID,主体类型,主体名称,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,直接成交金额,间接成交金额,总成交金额,总成交笔数,直接成交笔数,间接成交笔数,点击转化率,投入产出比,含预售投产比,总成交成本,总购物车数,直接购物车数,间接购物车数,加购率,收藏宝贝数,收藏店铺数,店铺收藏成本,总收藏加购数,总收藏加购成本,宝贝收藏加购数,宝贝收藏加购成本,总收藏数,宝贝收藏成本,宝贝收藏率,加购成本,拍下订单笔数,拍下订单金额,直接收藏宝贝数,间接收藏宝贝数,优惠券领取量,购物金充值笔数,购物金充值金额,旺旺咨询量,引导访问量,引导访问人数,引导访问潜客数,引导访问潜客占比,入会率,入会量,引导访问率,深度访问量,平均访问页面数,成交新客数,成交新客占比,会员首购人数,会员成交金额,会员成交笔数,成交人数,人均成交笔数,人均成交金额,自然流量转化金额,自然流量曝光量,平台助推总成交,平台助推直接成交,平台助推点击,宝贝优惠券抵扣金额,宝贝优惠券撬动总成交,宝贝优惠券撬动直接成交,宝贝优惠券撬动点击,平台补贴金额,补贴引导成交金额,发券补贴商品个数,补贴引导成交人数
2026-07-04,436,货品全站推广,436,货品全站推广,81863724248,DT_AI主机全站计划,1056701263315,商品,【国家补贴15%】联想 AI主机 MINI  此芯P1 CD8180 内置天禧Claw AI电脑主机AI迷你主机 AIPC台式机电脑主机,4491,189,99.82,0.04208,0.53,22.23,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,0.00,,15,15,0,0.07937,0,1,99.82,16,6.24,15,6.65,1,,0,6.65,0,0.00,0,0,1,0,0.00,2,499,152,66,0.43421,0,0,0.11111,200,3,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0
2026-07-04,371,关键词推广,371,关键词推广,81831404144,nb小新air14智能AI推广主推3950,1045221343950,商品,【国补至高15%】联想小新air14 2026酷睿Ultra5 14英寸轻薄本笔记本电脑 联想AIPC笔记本电脑 学生电脑便携,5291,449,500.00,0.08486,1.11,94.50,0.00,0,0.00,0,0.00,0,7979.00,0.00,7979.00,1,1,0,0.00223,15.96,15.96,500.00,30,20,10,0.06682,1,0,,31,16.13,31,16.13,1,500.00,0.00223,16.67,5,37995.00,1,0,10,0,0.00,5,1349,393,244,0.62087,0,0,0.25496,876,3,1,1,0,7979.00,1,1,1,7979.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,70.00,7979.00,1,1
2026-07-04,371,关键词推广,371,关键词推广,81826278667,异能者B01B09趋势明星,848364886657,商品,联想投资品牌异能者蓝牙音箱香薰音响家用桌面女生闺蜜生日礼物,1000,24,46.08,0.024,1.92,46.08,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,0.00,,2,2,0,0.08333,0,0,,2,23.04,2,23.04,0,,0,23.04,0,0.00,0,0,0,0,0.00,0,82,21,16,0.7619,0,0,0.082,53,4,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0
2026-07-04,371,关键词推广,371,关键词推广,81823116113,140W二合一_智能计划,1057397966015,商品,【重磅新品】联想锋行者140W二合一充电宝器3C认证可上飞机2026新款快充移动电源适用笔记本小新拯救者y7000p,952,53,496.99,0.05567,9.38,522.05,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,0.00,,3,1,2,0.0566,1,0,,4,124.25,4,124.25,1,496.99,0.01887,165.66,0,0.00,1,0,1,0,0.00,2,178,46,18,0.3913,0,0,0.18697,127,4,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0
2026-07-04,436,货品全站推广,436,货品全站推广,81818076367,手机_g100,987822581853,商品,【国家补贴15% 】联想moto g100 LCD高刷护眼7000mAh超强续航联想moto手机摩托罗拉手机,11705,411,300.00,0.03511,0.73,25.63,0.00,0,0.00,0,0.00,0,4175.07,0.00,4175.07,3,3,0,0.0073,13.92,13.92,100.00,17,16,1,0.04136,1,0,,18,16.67,18,16.67,1,300.00,0.00243,17.65,7,10993.00,1,0,6,0,0.00,11,904,360,224,0.62222,0.00243,1,0.07723,464,3,3,1,0,0.00,0,3,1,1391.69,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,70.00,1388.39,1,1
2026-07-04,372,人群推广,372,精准人群推广,81804932623,手机_Y70兴趣人群计划,1047256724586,商品,【12+256补贴400+国补15%】联想拯救者手机Y70 新一代支持梦幻多开 2K电竞屏 性能旗舰电竞游戏手机 学生手机,6201,539,477.94,0.08692,0.89,77.07,0.00,0,0.00,0,0.00,0,2689.00,0.00,2689.00,1,1,0,0.00186,5.63,5.63,477.94,56,45,11,0.1039,50,2,238.97,108,4.43,106,4.51,52,9.56,0.09276,8.53,4,12996.00,49,1,15,0,0.00,2,1432,558,223,0.39964,0.00371,2,0.23093,553,3,1,1,0,2689.00,1,1,1,2689.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0
2026-07-04,372,人群推广,372,精准人群推广,81804750681,平板_小新平板12类目高价值人群超市,953660721948,商品,【购机送保护夹】联想小新平板12.1 12.1英寸超清大屏平板电脑 影音娱乐学习网课学生AI平板电脑 学生平板,14150,651,405.62,0.04601,0.62,28.67,0.00,0,0.00,0,0.00,0,3573.02,0.00,3573.02,3,3,0,0.00461,8.81,8.81,135.21,59,51,8,0.09063,30,2,202.81,91,4.46,89,4.56,32,13.52,0.04608,6.87,7,8743.00,26,4,11,0,0.00,9,1625,669,353,0.52765,0.00461,3,0.11484,672,2,3,1,0,0.00,0,3,1,1191.01,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0
2026-07-04,372,人群推广,372,精准人群推广,81772232745,手机_Y70AI点睛人群,1047256724586,商品,【12+256补贴400+国补15%】联想拯救者手机Y70 新一代支持梦幻多开 2K电竞屏 性能旗舰电竞游戏手机 学生手机,7075,195,500.00,0.02756,2.56,70.67,0.00,0,0.00,0,0.00,0,5388.00,135.90,5523.90,4,2,2,0.02051,11.05,11.05,125.00,8,6,2,0.04103,1,0,,9,55.56,9,55.56,1,500.00,0.00513,62.50,9,22548.00,1,0,6,0,0.00,5,406,169,94,0.55621,0,0,0.05739,207,2,3,0.75,0,2785.00,2,4,1,1380.98,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0
2026-07-04,371,关键词推广,371,关键词推广,81759814719,nb来酷1415酷睿智能AI推广计划2490,967045582490,商品,【国家补贴15%*】来酷15 酷睿i5 15.6英寸办公学习电脑笔记本 性价比轻薄本电脑 大学生笔记本电脑官方旗舰店,15955,762,993.85,0.04776,1.30,62.29,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,0.00,,58,33,25,0.07612,10,5,198.77,73,13.61,68,14.62,15,99.39,0.01312,17.14,4,19496.00,6,4,13,0,0.00,12,2331,674,434,0.64392,0.00262,2,0.1461,1522,3,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0
2026-07-04,371,关键词推广,371,关键词推广,81749204947,nbyogaair14智能AI推广7423,1046956257423,商品,【新品首发】联想YOGA Air14 Ultra Aura 英特尔酷睿3代Ultra X7/325 可选YOGA 360 14轻薄本笔记本电脑联想,12575,725,399.96,0.05765,0.55,31.81,0.00,0,0.00,0,0.00,0,19978.00,14999.00,34977.00,3,2,1,0.00414,87.45,87.45,133.32,46,32,14,0.06345,9,2,199.98,57,7.02,55,7.27,11,44.44,0.01241,8.69,7,104493.00,4,5,16,0,0.00,12,2212,632,425,0.67247,0.0069,5,0.1759,1462,4,3,1,0,9979.00,1,3,1,11659.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,140.00,19978.00,1,2
